func_name,a,err,det
logistic,-0.17453292519943295,36.47180898454998,78142763.83798422
logistic,-0.15616103833633474,36.7340736427707,79447808.36417317
logistic,-0.13778915147323653,36.952801437589066,80522273.0039417
logistic,-0.11941726461013834,37.095667902095464,81244062.24094479
logistic,-0.10104537774704013,35.66664213509343,89043442.97734931
logistic,-0.08267349088394192,35.20524081431502,92413166.01146087
logistic,-0.06430160402084373,34.92946410580674,94899986.77264106
logistic,-0.04592971715774552,34.73583739222554,96822490.21560544
logistic,-0.027557830294647312,34.61306170432443,98489550.6634524
logistic,-0.009185943431549104,34.538672902624995,100041024.42953788
logistic,0.009185943431549104,34.49383076917915,101846992.9714311
logistic,0.027557830294647312,34.479339409068515,103824967.84492905
logistic,0.04592971715774549,34.467689420928174,106434770.99912669
logistic,0.0643016040208437,34.459231133616996,109342677.41329733
logistic,0.08267349088394191,34.4433552641506,112760422.4009047
logistic,0.10104537774704012,34.418855427399244,116799784.58182429
logistic,0.11941726461013832,34.38418179989861,121519325.37382564
logistic,0.13778915147323653,34.3390256803665,126865512.34516394
logistic,0.15616103833633474,34.28237468636076,132886116.35911126
logistic,0.17453292519943295,34.21336652581469,139464840.46235865
hyperbolic_tangent,-0.17453292519943295,36.66085146546167,79085314.26724255
hyperbolic_tangent,-0.15616103833633474,37.01780807747224,80839236.80533491
hyperbolic_tangent,-0.13778915147323653,37.20604202637762,81751068.17843203
hyperbolic_tangent,-0.11941726461013834,37.248429659589014,82441241.57437994
hyperbolic_tangent,-0.10104537774704013,35.301868482889624,92785950.02404198
hyperbolic_tangent,-0.08267349088394192,34.89247352089883,97370442.58564448
hyperbolic_tangent,-0.06430160402084373,34.63542530018676,100086752.7624626
hyperbolic_tangent,-0.04592971715774552,34.51202727957257,102078802.60500824
hyperbolic_tangent,-0.027557830294647312,34.647897623684045,105587567.13912642
hyperbolic_tangent,-0.009185943431549104,34.68467272656519,108553489.09362096
hyperbolic_tangent,0.009185943431549104,34.54764013925303,115806608.11537431
hyperbolic_tangent,0.027557830294647312,34.54395812441908,122344996.6641062
hyperbolic_tangent,0.04592971715774549,34.35608702161108,136091982.11540052
hyperbolic_tangent,0.0643016040208437,34.20749814243758,147110592.0887143
hyperbolic_tangent,0.08267349088394191,34.030211774634466,159376467.51165372
hyperbolic_tangent,0.10104537774704012,33.89373175752163,174558251.76823264
hyperbolic_tangent,0.11941726461013832,33.83801467221431,193811094.40963408
hyperbolic_tangent,0.13778915147323653,33.80814525183127,213983644.93323994
hyperbolic_tangent,0.15616103833633474,33.78225722043151,236656773.30044186
hyperbolic_tangent,0.17453292519943295,33.7105644126815,258213884.77520174
arctangent,-0.17453292519943295,36.6473464170298,79018299.95624025
arctangent,-0.15616103833633474,36.94228995204364,80470919.51279882
arctangent,-0.13778915147323653,37.123600288681466,81352791.78387676
arctangent,-0.11941726461013834,37.20270024285963,81856214.70534238
arctangent,-0.10104537774704013,35.355982068766195,91872725.33745569
arctangent,-0.08267349088394192,34.941212193784786,96249060.18149267
arctangent,-0.06430160402084373,34.73344201074061,98899529.32752071
arctangent,-0.04592971715774552,34.607018203229266,100807975.09491664
arctangent,-0.027557830294647312,34.643649842688944,103632608.48189482
arctangent,-0.009185943431549104,34.77722462156005,107228755.79323432
arctangent,0.009185943431549104,34.6893695637601,113127254.02739301
arctangent,0.027557830294647312,34.56667360835889,120556487.0699515
arctangent,0.04592971715774549,34.325211569369365,132223649.19852142
arctangent,0.0643016040208437,34.10361804181652,144696232.899386
arctangent,0.08267349088394191,33.88960284779571,157331955.7377037
arctangent,0.10104537774704012,33.70826181098836,170949345.9484519
arctangent,0.11941726461013832,33.59874449282403,186454736.18222687
arctangent,0.13778915147323653,33.56981543778009,204496522.47155213
arctangent,0.15616103833633474,33.59444278599638,223931597.40202066
arctangent,0.17453292519943295,33.645845918039406,244630075.91763166
relu,-0.17453292519943295,37.08309407859456,81156489.95528689
relu,-0.15616103833633474,37.36663163261575,82522120.0825302
relu,-0.13778915147323653,37.467123463195584,83001478.34689626
relu,-0.11941726461013834,37.36181364828046,83033266.85585067
relu,-0.10104537774704013,34.56356871554112,98850054.10234293
relu,-0.08267349088394192,34.551459569062764,105637478.52256422
relu,-0.06430160402084373,34.521550461145466,108563291.57366659
relu,-0.04592971715774552,34.53380140561852,110479573.9118244
relu,-0.027557830294647312,35.13866487861403,118314998.57425281
relu,-0.009185943431549104,35.8487645737203,129134745.38112275
relu,0.009185943431549104,35.23489074165441,152125138.8293356
relu,0.027557830294647312,34.635008475182474,180907450.98545924
relu,0.04592971715774549,33.56663455877439,232792434.52631214
relu,0.0643016040208437,32.831856008854515,284361946.01882863
relu,0.08267349088394191,32.26144215323155,331496225.9144789
relu,0.10104537774704012,31.89731550452787,381006625.4893429
relu,0.11941726461013832,32.0284780557481,443140922.07694954
relu,0.13778915147323653,32.54506264925095,521369336.4116442
relu,0.15616103833633474,33.22607155736766,604936654.4916037
relu,0.17453292519943295,33.924391973905166,691932505.6271646
cos,-0.17453292519943295,37.44231375298334,82883355.09176423
cos,-0.15616103833633474,37.83502650188973,84736437.87158725
cos,-0.13778915147323653,37.96442767423587,85339425.72336797
cos,-0.11941726461013834,38.00388088199837,85654483.69277142
cos,-0.10104537774704013,34.19755630243163,109684852.23155278
cos,-0.08267349088394192,34.61138218062921,122894103.84193899
cos,-0.06430160402084373,35.330619324750145,131646325.98483899
cos,-0.04592971715774552,35.93457140550233,138937669.34489614
cos,-0.027557830294647312,37.4914958281998,155696781.10232234
cos,-0.009185943431549104,39.415167095968414,177940013.54844102
cos,0.009185943431549104,39.39881610539358,220773540.4274528
cos,0.027557830294647312,39.29973665428724,271744847.8584746
cos,0.04592971715774549,38.44117981024217,363508172.8532746
cos,0.0643016040208437,38.01411152559638,453080385.26392484
cos,0.08267349088394191,37.737990320340884,532984277.25148034
cos,0.10104537774704012,37.7216994871857,615631179.3477181
cos,0.11941726461013832,38.32524265480258,719940735.5269377
cos,0.13778915147323653,39.385875347969005,851177338.1345677
cos,0.15616103833633474,40.441169465731434,989326682.7422078
cos,0.17453292519943295,41.4646175700912,1131345056.774406
