Time,Pose.x,Pose.y,Pose.z,Twist.linear.x,Twist.linear.y,Twist.linear.z,Twist.angular.x,Twist.angular.y,Twist.angular.z
1732177716.8523257,0.45055364223528144,-0.13058960949416662,0.11074069445888665,0.0,0.0,0.0,0.0,0.0,0.0
1732177716.9520948,0.4505334711675091,-0.13061162643240617,0.11073166407802557,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.0520825,0.4505267689303688,-0.13058538219603122,0.11071830271353963,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.1521418,0.450533776243202,-0.13059906646861513,0.11071624528040369,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.2522082,0.450550311345278,-0.13057538932489618,0.11073377733656552,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.352141,0.45052786689202656,-0.1306202344726805,0.11072262324190539,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.4522026,0.45052011258336994,-0.13060465761877654,0.11071930066355135,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.5522556,0.45053012196097436,-0.13057771949629246,0.11074621892335434,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.6523018,0.45052754246530796,-0.13061174213725862,0.1107364520424548,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.7521617,0.45052055688969916,-0.13060266529595554,0.11071101285734783,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.8521106,0.45053570626191897,-0.1305830656358679,0.1107378728469077,0.0,0.0,0.0,0.0,0.0,0.0
1732177717.9521341,0.45053650728945693,-0.1306002537916059,0.11071780973257325,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.0521722,0.45054948111117427,-0.1305828131486148,0.11073348722119625,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.152183,0.45055502058576663,-0.13059205520235462,0.11076041655849245,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.2522607,0.45053194091661364,-0.130588251971952,0.11071673622394027,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.3521063,0.45055256850954706,-0.13058792592786547,0.11076569447956261,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.4521909,0.4505371997390431,-0.13059942211776043,0.11072598845826884,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.5520706,0.45051118552601543,-0.1305970721726057,0.11072338068401259,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.652103,0.4505471537068387,-0.13058014423086348,0.11074096014662646,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.7521477,0.45053284354225315,-0.1305988296020447,0.11072877493581101,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.8521621,0.45055139978703374,-0.13059680863296838,0.110726315113156,0.0,0.0,0.0,0.0,0.0,0.0
1732177718.9521196,0.45052385785815124,-0.13058645780609734,0.1107105620802781,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.0522063,0.4505435463920494,-0.13059469453187392,0.1107240069064289,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.1522076,0.4505141442384863,-0.13060041971678873,0.11071620901729476,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.252274,0.45055069742346426,-0.13059247161416948,0.11075181229067749,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.3521514,0.4505511849714186,-0.13058075797164723,0.11072965566469628,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.4522097,0.4505480843958276,-0.13059646640332823,0.11074856195327323,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.552207,0.45052132710773024,-0.13059847712609354,0.11069861037631479,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.6522021,0.4505450222293765,-0.1306082111285015,0.11073623989891429,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.7522278,0.4505325413701748,-0.13058609103394203,0.11072639713685849,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.8522084,0.4505346568619043,-0.1305898718408272,0.11070144755530645,0.0,0.0,0.0,0.0,0.0,0.0
1732177719.9522405,0.45053929395229736,-0.13058340456723305,0.11071242450936178,0.0,0.0,0.0,0.0,0.0,0.0
1732177720.052189,0.45075748492681345,-0.12981746399446037,0.11062017796386012,0.005229806635104273,0.016065090609055293,-0.001204752234647854,-0.0007995978788961095,0.0006171161267925528,-0.005387735909846231
1732177720.152113,0.45195433950359315,-0.1264632880730172,0.11046835956674557,0.013949565097079389,0.040267651571603204,-0.0020814646383834215,0.00048615578326436753,-0.0007643399687360756,-0.0029558402156605046
1732177720.2520971,0.454028406219991,-0.12050974690147823,0.11020237121333068,0.023995159893815135,0.06400270058467335,-0.0003924759011370816,0.00030643903349191436,-0.004510453015828206,0.004730491453767471
1732177720.35216,0.45686317808036947,-0.11414663273754624,0.1106236737934948,0.0415620341363069,0.0772945787854787,0.009129143966752613,0.0012427256054886697,-0.0059941024912674975,-0.0024966521074565318
1732177720.4521894,0.4622697536250941,-0.10590846459239009,0.11193760769803887,0.059919494563993536,0.0799425422911153,0.015830706154610023,0.0005575222529090442,0.006786498808340949,-0.0011281282423798444
1732177720.5522015,0.47036073922326976,-0.09724089857681839,0.1139438934576105,0.08354427000162488,0.08482148222753494,0.016360011884491286,-0.0003545359591469559,0.012718348249860605,-0.004077611652023083
1732177720.652209,0.48035557291220615,-0.08744224987375492,0.1157819590834839,0.10338526877243896,0.09852346456933153,0.01847965104022791,0.002199749965692406,-0.006423935010053757,-0.003589923397522954
1732177720.752203,0.489532629233676,-0.07871472055577279,0.11664593801852288,0.1059212960610182,0.10176314324300817,0.004058669175531423,-0.0014855579968123945,0.007351289229495199,0.0005587062465879367
1732177720.8522153,0.500197466840745,-0.06800906874094281,0.11780815861781128,0.0913486639226081,0.099612899675453,0.015804730780142304,0.0005429474340399466,0.0018522652704078023,-0.002037454060061117
1732177720.9520772,0.50868990894263,-0.05768094757929394,0.11985714348516056,0.0801121483789253,0.10092469911771337,0.023911189258358428,0.0011077921372277357,-0.0008849883384558551,0.00020605796916695063
1732177721.0521712,0.5155947996233523,-0.04673365544836637,0.12328522334462141,0.05698491711288753,0.1036073835135441,0.03290423791738342,0.0007777628498632431,0.0015615961106627257,-1.971264238043169e-05
1732177721.1522007,0.5191071259078383,-0.03834919454342052,0.12590560245156768,0.03619432395531156,0.09452367707229184,0.03172356828904916,0.0013481346476516254,-0.001602051058026608,0.002064558733591515
