Time,Pose.x,Pose.y,Pose.z,Pose.qx,Pose.qy,Pose.qz,Pose.qw,Twist.linear.x,Twist.linear.y,Twist.linear.z,Twist.angular.x,Twist.angular.y,Twist.angular.z,JTwist.linear.x,JTwist.linear.y,JTwist.linear.z,JTwist.angular.x,JTwist.angular.y,JTwist.angular.z,Heading.qx,Heading.qy,Heading.qz,Heading.qw,Finish
1731414909.5508778,0.47961521902440224,-0.1406224414785315,0.07090811825322905,-0.0010799695317473363,0.0106166471891517,0.009482170939639505,0.9998980992593911,0.0005330886198972243,0.0003097621813398879,0.00046201457812989493,-7.212189295743813e-05,-0.0009524241516182329,0.0010911792493146749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3259915909853053,0.21856424256309578,0.919760378837711,0
1731414909.6009402,0.4795947534960712,-0.14066052716707605,0.07089575106067486,-0.001081361996115458,0.010630844068795454,0.00942548443103993,0.9998984828740659,-0.0004088508628870893,-0.000760858277061397,-0.00024706605495301295,-2.6221673646533455e-05,0.0005699889709952685,-0.00226480670488476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634337349932129,-0.8112637641172663,0.5219710454592382,0
1731414909.6512253,0.4795885404903909,-0.14061606438270927,0.07090600001062745,-0.0010898804151081877,0.010624637853245043,0.009484552204837788,0.9998979810463874,-0.00012475457587282515,0.0008927942595275293,0.0002057946620791209,-0.00036966108054421607,-0.0002483158463431171,0.0023681579539234733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1692032036368701,0.7340503751384303,0.6576779779178786,0
1731414909.7007651,0.4796120772523998,-0.14065395873903297,0.07092143892043358,-0.0010874173264197164,0.010593054885478402,0.00944552468799047,0.9998986882555253,0.00047070425842353253,-0.0007578372456265589,0.0003087578736792711,0.0001031909471248156,-0.0012626362862942486,-0.0015614402887479163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18891608541343474,-0.4636890522603728,0.8656229984733198,0
1731414909.7509255,0.4796091410878051,-0.1406380641722123,0.07091853438817924,-0.0010771104149344993,0.010589805234713751,0.0094564057026905,0.9998986309868771,-5.853967517764744e-05,0.0003168973498477657,-5.7909006538627716e-05,0.00040512169782626697,-0.0001339005207276734,0.0004380686289558969,0.0,0.0,0.0,-6.453721655541901e-32,-1.2183828514120697e-33,1.3754387144381141e-33,-0.0,0.1380060284494845,0.755214901666199,0.6407845101224854,0
1731414909.801007,0.4795779482016233,-0.1406576799148428,0.07088905390178166,-0.0011170522225940223,0.01063678830488661,0.009445683149067543,0.9998981898167114,-0.0006248683982809039,-0.0003929504184755605,-0.0005905649194637845,-0.0015777886966819785,0.0018979416898941698,-0.00044437996424318677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7587144740630353,-0.5048338637473324,0.4116978465588465,0
1731414909.8506935,0.47959213615455404,-0.14064713396390738,0.0709013088051748,-0.0010726038827649064,0.01062685057169686,0.009457800861488463,0.9998982296067445,0.0002833000332368103,0.00021057782367214927,0.00024470158278227513,0.0017659772760233673,-0.0004141722014837849,0.0005022794018792574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3127133316903533,0.26910529989997023,0.9109295855053047,0
1731414909.9007533,0.4796043174648927,-0.1406470451117052,0.07093331980825832,-0.0010736968051995785,0.010581403767422382,0.009447976843881802,0.9998988032811315,0.00024291639050483485,1.7718665432313838e-06,0.0006383547507872747,-5.6521844630133334e-05,-0.0018118024284805182,-0.0003943971432647839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5676008716845826,0.0015754766345931455,0.8233023553569344,0
1731414909.9508476,0.47960153169269504,-0.14066502965030123,0.07089621471171292,-0.0010910607154257556,0.010626107418129667,0.009430717024201622,0.9998984733482011,-5.594063072424139e-05,-0.0003611445448400228,-0.0007451013064127581,-0.0006730411305219328,0.001802652995938647,-0.0006984694383044774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657399617775851,-0.3186362494553794,0.6828591971125338,0
1731414910.0006483,0.47958331845086655,-0.14064470500205736,0.0708876918445214,-0.0011027154107772278,0.010644418482323842,0.009448973529498068,0.9998980934440945,-0.00036474172908576146,0.00040702514211007576,-0.00017068050517738616,-0.0004676074519674636,0.0007371016322982785,0.000727116855853022,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.3498650355554797,0.8343299995996453,0.42601397707565763,0
